tweet	sentiment
Traffic is gd inw Balogun, Gudugba, Lonlo and St. Kizoto turning is gd, then slow at the turning.  Moving inw Fagba jnctn is gd but slow at Fagba.  Olayiwola inw Amala jnctn, Ayodele approaching NNPC is gd, then slow inw Fagba jnctn.      	Negative
Jones intersection is equally good for now, while traffic from Oyebanji round about connecting Adeniji Adele road through Oba's palace and Police post  is very much ok at this time.	Positive
    Mashalashi to Idioro is ok, from there to Olosa, Luth junction, Ojuwoye is busy. Proceeding Olorunshogo, Challenge, Cappa, Oshodi under bridge is ok, from there to Bolade junction is busy due to Market activities.	Positive
However, we have two impediments at Ijaye inward Toll gate. A broken down Tipper Truck and another loaded Truck.  Though, No effect on traffic at the moment. Another impediment is at Kola inward Toll Gate with no effect on traffic movement for now.	Negative
     FromOdogun, Ajegunle,thomas,irawo, weighbridge,owodeonirin,owodeElede,mile12 to Ajelogo in and out,mile12 to kosofe is good to go same as movement From	Positive
Ogunnusi road from river valley to omole is good asides the slight delays at VIS  due to the fuel queue. However, the one lane policy put in place for fuel station is strictly enforced for fuel queue at this location.	Positive
    Deeper Life at Diya Street to Tanterlizer, New Garage upto Baale is Appreciable. Baale to Oworo Link Bridge down to Olojojo is good to go. Baale inward Temple and Laide is appreciable. Bariga Round About to Odunsi and Ilaje is Appreciable.	Positive
Broad Street link Apongbon towards olowogbowo is very good.      Leventis ascending Elegbata bridge towards Ebute Ero connect Police Post is appreciable movement.         	Positive
      Good movement in and out of  Mobolaji Johnson Avenue from 7up, Billings way to Secretariat intersection  The stretch of Dr Nurudeen Olowopopo in and out to Otedola bridge is good to go for now	Positive
     A BRT Bus having a mechanical fault at Akowonjo roundabout inward Shasha impending free flow of traffic. Effort is on for recovery while Officers are on ground doing the needful.     	Positive
Inward Eleganzer enroute Canoe to connect NNPC road is a slow. Mubostic inward Canoe is good but slow at Canoe roundabout due to alternation. Movement from Alhaji Lookman Atobajeun and Swimming Pool is good.	Positive
      Lagos Badàgry Express Way from Agbara is good. Little traffic delay at Iyana- Era, from there on the stretch down to Trade fair underneath the bridge is good. Tankers are still on queue by the service lane from AbuleOsun 	Positive
     Good movement within this location for now. Although, any moment from now, there would be an upsurge due to the closing hour rush.   The other impediment at Salolo inward Toll gate is still on ground.	Positive
